,len,cnt_alpha,cnt_nonAlpha,alpha_to_special,cnt_vowel,cnt_consonant,vowel_to_consonant,entropy,entropy_ideal,emtropy_percentage,fleschkincaid,smog,dalechall,gunningfog,sybl,hex,valid
0,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,72696273,True
1,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,63726577,True
2,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,63726f70,True
3,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,63757073,True
4,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,52455452,True
5,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,52655472,True
6,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,726f6573,True
7,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,726f6265,True
8,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,726f6164,True
9,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,72696e67,True
10,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,524a4f52,True
11,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,52657374,True
12,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,4443414d,True
13,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,64656166,True
14,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,0.0496,0.4,1,64656570,True
15,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,44617665,True
16,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,44656172,True
17,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,63757370,True
