len,cnt_alpha,cnt_nonAlpha,alpha_to_special,cnt_vowel,cnt_consonant,vowel_to_consonant,entropy,entropy_ideal,emtropy_percentage,fleschkincaid,smog,dalechall,gunningfog,sybl,hex
5,2,3,0.4,1,1,0.5,2.3219280948873626,2.321928094887362,1.0000000000000002,-3.3999999999999986,3.1291,19.4761,0.4,1,246f422360
5,4,1,0.8,2,2,0.5,2.3219280948873626,2.321928094887362,1.0000000000000002,-3.3999999999999986,3.1291,19.4761,0.4,1,7e4a59754f
7,4,3,0.5714285714285714,0,4,0.0,2.807354922057604,2.8073549220576046,0.9999999999999999,-3.3999999999999986,3.1291,19.4761,0.4,1,7c62334e29446d
22,15,7,0.6818181818181818,0,15,0.0,3.8796640049025926,4.459431618637297,0.8699906931386316,-3.3999999999999986,3.1291,19.4761,0.4,1,587a5a2574543c5870792525247b576e5a4e7a745639
4,4,0,1.0,0,4,0.0,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,57735343
7,2,5,0.2857142857142857,1,1,0.5,2.807354922057604,2.8073549220576046,0.9999999999999999,-3.594999999999999,3.1291,19.451299999999996,0.2,1,213a5025284533
9,4,5,0.4444444444444444,2,2,0.5,3.169925001442312,3.1699250014423126,0.9999999999999999,-3.3999999999999986,3.1291,19.4761,0.4,1,495335444134315f32
19,9,10,0.47368421052631576,2,7,0.2222222222222222,4.142664355548851,4.247927513443586,0.9752201143824595,-3.692499999999999,3.1291,19.438899999999997,0.1,1,215a50666445373c617c5c213f424323277d6c
11,6,5,0.5454545454545454,1,5,0.16666666666666666,3.459431618637298,3.4594316186372978,1.0000000000000002,-3.3999999999999986,3.1291,19.4761,0.4,1,544e573928644525562324
8,6,2,0.75,2,4,0.3333333333333333,3.0,3.0,1.0,8.400000000000002,3.1291,19.4761,0.4,2,5866704c45497b34
6,2,4,0.3333333333333333,0,2,0.0,2.2516291673878226,2.584962500721156,0.8710490642551527,-3.3999999999999986,3.1291,19.4761,0.4,2,2d422d502160
5,5,0,1.0,2,3,0.4,2.3219280948873626,2.321928094887362,1.0000000000000002,-3.3999999999999986,3.1291,19.4761,0.4,1,6d4b6f5861
9,6,3,0.6666666666666666,0,6,0.0,3.169925001442312,3.1699250014423126,0.9999999999999999,8.400000000000002,3.1291,19.4761,0.4,2,235c437e736e4e4846
