Runner Size time memory
test_dict.py 1 1.88 129
test_dict.py 10 1.86 132
test_dict.py 100 1.96 130
test_dict.py 500 2.06 132
test_dict.py 1000 1.89 134
test_dict.py 2000 1.98 129
test_dict.py 2500 2.03 135
test_dict.py 5000 2.28 132
test_dict.py 7500 2.31 135
test_dict.py 10000 2.52 135
test_dict.py 15000 2.77 135
test_dict.py 20000 3.05 134
test_dict.py 25000 3.35 129
test_dict.py 50000 4.86 134
test_dict.py 75000 6.17 132
test_dict.py 100000 8.11 135
test_dict.py 150000 10.44 152
test_dict.py 200000 13.91 168
test_dict.py 250000 16.67 187
test_bayes.py 1 1.67 85
test_bayes.py 10 1.65 85
test_bayes.py 100 1.65 85
test_bayes.py 500 1.78 85
test_bayes.py 1000 1.69 85
test_bayes.py 2000 1.69 84
test_bayes.py 2500 1.72 85
test_bayes.py 5000 1.76 86
test_bayes.py 7500 1.75 88
test_bayes.py 10000 1.79 89
test_bayes.py 15000 1.92 92
test_bayes.py 20000 2.00 95
test_bayes.py 25000 2.15 99
test_bayes.py 50000 2.51 117
test_bayes.py 75000 2.90 135
test_bayes.py 100000 3.30 152
test_bayes.py 150000 3.98 188
test_bayes.py 200000 4.76 225
test_bayes.py 250000 5.69 266
test_markov.py 1 0.97 62
test_markov.py 10 1.05 61
test_markov.py 100 1.00 62
test_markov.py 500 1.00 61
test_markov.py 1000 1.03 62
test_markov.py 2000 1.08 61
test_markov.py 2500 1.06 61
test_markov.py 5000 1.23 63
test_markov.py 7500 1.25 63
test_markov.py 10000 1.34 64
test_markov.py 15000 1.49 67
test_markov.py 20000 1.75 70
test_markov.py 25000 1.87 72
test_markov.py 50000 2.80 78
test_markov.py 75000 3.67 81
test_markov.py 100000 4.71 87
test_markov.py 150000 6.28 104
test_markov.py 200000 8.26 119
test_markov.py 250000 9.76 139
test_keras.py 1 4.81 208
test_keras.py 10 4.94 208
test_keras.py 100 4.99 208
test_keras.py 500 4.78 209
test_keras.py 1000 4.88 208
test_keras.py 2000 4.94 209
test_keras.py 2500 4.93 209
test_keras.py 5000 4.97 210
test_keras.py 7500 5.09 211
test_keras.py 10000 5.12 213
test_keras.py 15000 5.34 217
test_keras.py 20000 5.47 219
test_keras.py 25000 5.62 223
test_keras.py 50000 6.54 238
test_keras.py 75000 7.50 252
test_keras.py 100000 8.28 268
test_keras.py 150000 10.15 298
test_keras.py 200000 11.73 328
test_keras.py 250000 13.75 359
test_none.py 1 2.02 134
test_none.py 10 1.79 134
test_none.py 100 1.86 134
test_none.py 500 1.86 135
test_none.py 1000 2.11 134
test_none.py 2000 1.82 132
test_none.py 2500 1.84 135
test_none.py 5000 1.81 134
test_none.py 7500 2.01 134
test_none.py 10000 1.76 132
test_none.py 15000 1.87 132
test_none.py 20000 1.81 129
test_none.py 25000 1.85 129
test_none.py 50000 1.86 129
test_none.py 75000 1.88 135
test_none.py 100000 1.90 135
test_none.py 150000 1.96 152
test_none.py 200000 2.11 169
test_none.py 250000 2.14 187
